524	0	0
735	0	0
995	0	0
995	0	0
1233	0	0
1499	0	0
1763	0	0
1763	0	0
2025	0	0
2276	0	0
2533	0	0
2533	0	0
2834	71	71
3084	127	127
3300	129	128
3548	129	129
3548	0	0
3804	128	128
4094	128	129
4372	129	128
4581	128	129
4581	0	0
4881	129	128
5089	128	129
5089	0	0
5404	129	128
5617	128	129
5866	129	128
6155	128	129
6393	129	128
6393	0	0
6675	128	129
6932	129	128
7148	129	129
7148	0	0
7446	128	128
7669	128	129
7959	129	128
8174	129	129
8174	0	0
8432	128	128
8727	128	129
8942	129	128
8942	0	0
9244	128	129
9466	129	128
9728	129	129
9995	130	130
9995	0	0
10234	128	129
10522	129	128
10780	128	129
10780	0	0
11017	129	128
11266	128	129
11531	129	128
11531	0	0
11802	128	129
12074	129	128
12302	125	132
12564	106	149
12564	0	0
12806	108	150
13089	107	150
13351	107	149
13584	107	149
13584	0	0
13846	106	149
14080	108	151
14351	105	148
14598	108	149
14598	0	0
14862	91	170
15132	85	170
15385	86	165
15385	0	0
15631	84	151
15923	86	155
16134	86	151
16134	0	0
16410	85	151
16645	86	146
16910	86	156
17188	86	152
17188	0	0
17428	85	151
17702	85	153
17945	86	152
17945	0	0
18203	120	135
18455	128	129
18712	129	128
18976	127	127
18976	0	0
19215	128	129
19467	129	129
19735	130	130
19985	129	128
19985	0	0
20292	128	129
20506	127	127
20757	129	129
20757	0	0
21026	128	128
21295	129	129
21555	128	128
21785	129	129
21785	0	0
22042	123	132
22292	108	151
22565	90	166
22565	0	0
22821	86	171
23076	84	155
23328	87	151
23328	0	0
23611	85	150
23846	86	147
24092	86	152
24351	67	145
24351	0	0
24657	64	146
24871	65	145
25121	65	145
25121	0	0
25426	65	152
25644	64	149
25907	64	146
26144	86	140
26144	0	0
26408	130	129
26684	127	128
26918	128	128
26918	0	0
27216	131	130
27434	128	129
27729	129	128
27729	0	0
28001	127	127
28208	128	129
28502	129	128
28714	128	129
28989	129	128
28989	0	0
29269	129	129
29496	128	128
29768	129	129
29768	0	0
30007	127	131
30266	90	166
30533	54	180
30774	43	147
30774	0	0
31028	44	150
31297	43	144
31551	43	147
31551	0	0
31812	43	151
32066	43	145
32363	43	144
32573	43	140
32573	0	0
32822	43	143
33095	44	144
33351	112	137
33351	0	0
33627	127	128
33856	128	128
34108	129	129
34391	127	127
34391	0	0
34629	129	129
34878	129	129
35154	128	128
35396	129	129
35396	0	0
35654	110	150
35928	107	150
36184	107	150
36184	0	0
36437	107	149
36689	108	150
36966	106	149
36966	0	0
37207	104	152
37464	86	171
37723	85	170
37967	85	153
37967	0	0
38233	87	147
38483	85	146
38773	86	152
38983	110	136
38983	0	0
39256	128	128
39493	128	128
39764	127	127
39764	0	0
40036	129	130
40267	127	127
40523	129	129
40796	129	129
40796	0	0
41038	128	128
41343	112	147
41553	107	149
41553	0	0
41823	106	149
42071	108	151
42332	106	148
42332	0	0
42634	92	166
42844	86	170
43107	85	158
43346	95	145
43346	0	0
43607	129	129
43877	127	127
44128	113	144
44376	107	148
44376	0	0
44635	107	151
44895	108	151
45151	107	149
45151	0	0
45406	107	150
45718	106	148
45927	109	152
46183	105	147
46183	0	0
46483	108	150
46683	108	152
46973	108	150
46973	0	0
47205	106	149
47454	107	150
47710	108	150
47978	106	148
47978	0	0
48290	114	142
48547	129	128
48753	129	129
48753	0	0
49034	128	128
49259	128	129
49555	129	128
49773	130	130
49773	0	0
50042	109	148
50291	105	147
50545	108	151
50545	0	0
50840	108	150
51049	115	141
51309	129	128
51568	127	128
51568	0	0
51819	128	128
52127	129	128
52338	128	129
52338	0	0
52603	131	130
52877	127	127
53111	128	129
53111	0	0
53408	129	129
53668	129	128
53880	128	129
54184	124	123
54394	18	19
54394	0	0
54648	0	0
54956	0	0
55174	0	0
55174	0	0
55419	0	0
55685	0	0
